,insiderthreat,vector,date,user,source,action
0,1,0,1280707200,4,128,750
1,1,0,1280707200,4,128,763
2,1,0,1280707200,4,128,766
3,1,0,1280707200,4,128,673
4,1,0,1280793600,4,128,767
5,1,0,1280793600,4,128,765
6,1,0,1280793600,4,128,1138
7,1,0,1280793600,4,128,204
8,1,0,1280793600,4,128,673
9,1,0,1280880000,4,128,764
10,1,0,1280880000,4,128,1138
11,1,0,1280880000,4,128,765
12,1,0,1280880000,4,128,1404
13,1,0,1280880000,4,128,759
14,1,0,1280880000,4,128,763
15,1,0,1280966400,4,128,410
16,1,0,1280966400,4,128,334
17,1,0,1280966400,4,128,765
18,1,0,1280966400,4,128,1138
19,1,0,1280966400,4,128,763
20,1,0,1280966400,4,128,1404
21,1,0,1280966400,4,128,767
22,1,0,1280966400,4,128,204
23,1,0,1280966400,4,128,334
24,1,0,1281052800,4,128,763
25,1,0,1281052800,4,128,204
26,1,0,1281052800,4,128,766
27,1,0,1281052800,4,128,1404
28,1,0,1281052800,4,128,764
29,1,0,1281052800,4,128,767
30,1,0,1281052800,4,128,763
31,1,0,1281052800,4,128,334
32,1,0,1281052800,4,128,750
33,1,0,1281312000,4,128,750
34,1,0,1281398400,4,128,823
35,1,0,1281398400,4,128,410
36,1,0,1281398400,4,128,759
37,1,0,1281398400,4,128,204
38,1,0,1281398400,4,128,764
39,1,0,1281484800,4,128,673
40,1,0,1281484800,4,128,764
41,1,0,1281484800,4,128,765
42,1,0,1281484800,4,128,765
43,1,0,1281484800,4,128,823
44,1,0,1281484800,4,128,204
45,1,0,1281484800,4,128,204
46,1,0,1281571200,4,128,204
47,1,0,1281571200,4,128,823
48,1,0,1281571200,4,128,673
49,1,0,1281571200,4,128,1404
50,1,0,1281571200,4,128,759
51,1,0,1281571200,4,128,334
52,1,0,1281571200,4,128,204
53,1,0,1281571200,4,128,763
54,1,0,1281657600,4,128,823
55,1,1,1281916800,939,0,0
56,1,0,1281916800,4,128,204
57,1,0,1281916800,4,128,334
58,1,0,1281916800,4,128,765
59,1,0,1282003200,4,128,759
60,1,0,1282003200,4,128,763
61,1,0,1282003200,4,128,204
62,1,0,1282003200,4,128,1138
63,1,0,1282003200,4,128,764
64,1,0,1282003200,4,128,750
65,1,0,1282003200,4,128,767
66,1,0,1282003200,4,128,673
67,1,0,1282089600,4,128,410
68,1,0,1282089600,4,128,763
69,1,0,1282089600,4,128,750
70,1,0,1282176000,4,128,673
71,1,0,1282176000,4,128,759
72,1,0,1282176000,4,128,759
73,1,0,1282176000,4,128,1404
74,1,0,1282176000,4,128,763
75,1,0,1282176000,4,128,204
76,1,1,1282176000,939,0,4
77,1,0,1282262400,4,128,765
78,1,0,1282262400,4,128,763
79,1,0,1282262400,4,128,823
80,1,0,1282262400,4,128,764
81,1,0,1282262400,4,128,763
82,1,0,1282521600,4,128,767
83,1,0,1282521600,4,128,750
84,1,0,1282521600,4,128,1404
85,1,0,1282521600,4,128,823
86,1,0,1282521600,4,128,1404
87,1,1,1282608000,939,0,7
88,1,0,1282608000,4,128,759
89,1,0,1282608000,4,128,410
90,1,1,1282608000,939,0,6
91,1,0,1282608000,4,128,759
92,1,0,1282694400,4,128,759
93,1,0,1282694400,4,128,766
94,1,0,1282780800,4,128,764
95,1,0,1282780800,4,128,823
96,1,0,1282780800,4,128,410
97,1,0,1282780800,4,128,1404
98,1,0,1282780800,4,128,766
99,1,0,1282780800,4,128,673
100,1,0,1282780800,4,128,767
101,1,0,1282780800,4,128,763
102,1,0,1282867200,4,128,673
103,1,1,1282867200,939,0,2
104,1,0,1282867200,4,128,767
105,1,0,1282867200,4,128,673
106,1,0,1282867200,4,128,759
107,1,0,1282867200,4,128,334
108,1,0,1282867200,4,128,766
109,1,0,1283126400,4,128,410
110,1,1,1283126400,939,0,5
111,1,0,1283126400,4,128,750
112,1,0,1283126400,4,128,763
113,1,0,1283126400,4,128,765
114,1,1,1283126400,939,0,1
115,1,0,1283126400,4,128,1404
116,1,0,1283212800,4,128,766
117,1,0,1283212800,4,128,763
118,1,0,1283212800,4,128,763
119,1,0,1283299200,4,128,767
120,1,2,1283299200,4,128,31
121,1,2,1283299200,4,128,35
122,1,0,1283299200,4,128,334
123,1,2,1283299200,4,128,31
124,1,2,1283299200,4,128,35
125,1,0,1283299200,4,128,750
126,1,2,1283299200,4,128,31
127,1,2,1283299200,4,128,35
128,1,2,1283299200,4,128,31
129,1,2,1283299200,4,128,35
130,1,0,1283299200,4,128,334
131,1,2,1283299200,4,128,31
132,1,2,1283299200,4,128,35
133,1,0,1283299200,4,128,410
134,1,2,1283299200,4,128,31
135,1,0,1283299200,4,128,1404
136,1,2,1283299200,4,128,35
137,1,0,1283299200,4,128,750
138,1,0,1283299200,4,128,764
139,1,0,1283299200,4,128,764
140,1,2,1283385600,4,128,31
141,1,2,1283385600,4,128,35
142,1,2,1283385600,4,128,31
143,1,2,1283385600,4,128,35
144,1,2,1283385600,4,128,31
145,1,2,1283385600,4,128,35
146,1,2,1283385600,4,128,31
147,1,2,1283385600,4,128,35
148,1,2,1283472000,4,128,31
149,1,2,1283472000,4,128,35
150,1,2,1283472000,4,128,31
151,1,2,1283472000,4,128,35
152,1,2,1283472000,4,128,31
153,1,2,1283472000,4,128,35
154,1,2,1283472000,4,128,31
155,1,2,1283472000,4,128,35
156,1,2,1283472000,4,128,31
157,1,2,1283472000,4,128,35
158,1,2,1283472000,4,128,31
159,1,2,1283472000,4,128,35
160,1,2,1283817600,4,128,31
161,1,2,1283817600,4,128,35
162,1,2,1283817600,4,128,31
163,1,2,1283817600,4,128,35
164,1,2,1283817600,4,128,31
165,1,2,1283817600,4,128,35
166,1,2,1283904000,4,128,31
167,1,2,1283904000,4,128,35
168,1,2,1283990400,4,128,31
169,1,2,1283990400,4,128,35
170,1,2,1283990400,4,128,31
171,1,2,1283990400,4,128,35
172,1,2,1283990400,4,128,31
173,1,2,1283990400,4,128,35
174,1,2,1283990400,4,128,31
175,1,2,1283990400,4,128,35
176,1,2,1283990400,4,128,31
177,1,2,1283990400,4,128,35
178,1,2,1283990400,4,128,31
179,1,2,1283990400,4,128,35
180,1,2,1283990400,4,128,31
181,1,2,1283990400,4,128,35
182,1,2,1284076800,4,128,31
183,1,2,1284076800,4,128,35
